HCPCS_Cd,underpaid_rows,total_estimated_recovery,avg_gap_pct,avg_confidence,critical_or_high_count
66984,12674,2208985130.83,-43.08,0.4363,3146
99214,446423,1081272547.87,-11.85,0.3637,5370
99213,397732,485120182.9,-11.51,0.5135,1535
97110,82975,480120755.12,-24.73,0.9061,12266
74177,25734,419540260.77,-58.21,0.8611,13364
97530,68965,295074095.1,-15.26,0.5891,5631
93306,23168,277171230.75,-46.76,0.7475,8632
97112,67452,266207778.92,-21.51,0.8162,5140
27447,10363,234418798.25,-44.78,0.4536,4790
97140,66994,212663279.85,-26.41,0.8839,3133
77067,12085,195928685.0,-55.1,0.7751,4903
99309,35442,182549201.59,-12.65,0.4018,1671
70450,21775,172490382.42,-47.05,0.9179,5974
93458,7851,167534871.43,-65.23,0.698,4484
71275,19636,166384088.88,-56.91,0.9423,5581
99215,128261,161364472.36,-11.21,0.2559,222
99232,152925,154703660.62,-7.46,0.266,529
G0439,90662,140815196.89,-14.87,0.426,1430
99233,113101,138345263.91,-6.84,0.1868,105
78452,10613,137770583.21,-73.23,0.893,4260
27130,6980,125006623.17,-44.39,0.4581,3131
88305,14124,117119455.11,-25.63,0.8567,2878
17000,22498,116308748.57,-26.41,0.7304,2177
71045,25496,116211593.0,-52.86,0.9902,2780
99204,191736,110380089.87,-8.54,0.3001,1
77301,3142,107416182.38,-66.08,0.6896,2332
17311,3020,101910815.07,-16.47,0.4016,1254
88307,8484,100665376.44,-59.54,0.8058,3173
71260,23339,99709993.65,-52.07,0.8481,1603
99308,30066,95763991.34,-12.64,0.5118,1116
70553,11727,90429320.86,-49.69,0.7433,2143
70498,13156,89980964.01,-58.55,0.9408,2561
99223,119991,89705490.69,-6.42,0.1442,0
88341,10063,88566299.3,-52.94,0.9161,2661
99285,54834,87831496.81,-8.66,0.2478,7
90837,12810,87422395.96,-21.12,0.4531,887
70496,12649,84917921.21,-57.96,0.9553,2391
71250,23720,83410799.69,-44.65,0.8595,1228
74176,22754,83061057.55,-36.02,0.8948,1202
45380,15104,79063381.51,-40.72,0.6433,1031
93970,14794,71937131.07,-73.52,0.7901,1079
99203,136483,70224300.01,-10.47,0.4797,5
11102,19560,69843562.83,-22.61,0.7188,745
37225,668,69319060.36,-29.15,0.4194,422
72125,17353,67341600.0,-49.42,0.9719,1127
66821,6025,67169326.68,-11.67,0.1589,116
77014,3897,65700730.71,-45.17,0.8157,1902
99349,14190,65298406.89,-14.64,0.4272,597
43239,16152,63221147.18,-34.48,0.7206,648
70551,13487,61494390.13,-48.43,0.9081,1364
93880,12556,58823088.53,-68.64,0.7365,887
74174,11021,58717362.23,-61.76,0.9105,919
99291,60333,55965586.23,-6.56,0.0895,0
71046,37273,55227687.72,-44.35,0.841,441
93971,17567,53881730.93,-73.17,0.646,183
13132,3039,53128951.5,-38.76,0.5993,1156
23472,3368,51070516.2,-40.99,0.4252,1419
63047,3937,50764841.81,-48.97,0.3506,393
88342,11112,48956029.73,-49.28,0.838,647
72148,14058,48211649.85,-42.03,0.793,641
92014,29495,47277421.88,-6.21,0.1215,14
74183,7381,47260999.68,-54.69,0.7935,959
33361,2807,45795043.3,-39.47,0.5385,857
17110,18512,41796303.17,-13.79,0.5975,153
99310,15866,41753097.67,-13.97,0.2003,11
74178,9740,40593955.51,-58.21,0.8323,395
33533,2390,39078806.19,-41.97,0.4674,765
97116,12006,38227361.32,-28.09,0.8581,696
66982,2638,36818337.82,-12.1,0.2703,80
37229,517,36222058.47,-17.14,0.4141,319
99222,92752,36078995.35,-6.78,0.205,0
99284,54654,35691824.48,-8.74,0.3863,1
99350,7191,33940712.14,-15.36,0.2735,82
93454,2590,33924297.3,-69.18,0.617,588
77063,13153,33285770.46,-24.43,0.7222,361
95811,2520,33095484.84,-70.48,0.472,406
97535,17819,31874628.81,-24.23,0.5774,487
88313,5788,31182163.08,-77.26,0.8598,541
99239,55878,31108729.2,-6.73,0.2683,0
90834,8133,30212128.48,-21.08,0.3655,128
76770,17045,29934087.95,-50.66,0.8522,130
11042,11754,29633902.97,-14.18,0.4759,203
95810,2559,29235056.52,-70.28,0.5009,404
95816,2745,28148208.63,-78.2,0.8002,705
72197,4737,27984819.02,-53.16,0.7697,552
99205,53825,27460309.31,-7.36,0.1347,0
73502,22068,26436230.13,-63.73,0.9246,80
99212,76353,25737316.57,-10.88,0.5234,17
98941,25808,25734454.15,-5.26,0.3818,24
76705,18854,25336930.76,-53.4,0.8752,42
99490,15272,25293724.14,-8.82,0.4132,47
13121,3291,24979058.14,-29.83,0.5413,443
11602,5307,24755132.83,-50.07,0.6793,125
73721,7230,24697444.26,-44.1,0.7219,333
77080,10390,24606118.88,-61.61,0.9044,327
88312,5573,24265250.52,-64.51,0.8197,252
22612,1793,24087027.42,-39.63,0.3936,662
93460,2112,23763062.27,-60.17,0.7227,473
22633,1550,23507943.59,-40.18,0.3886,601
G6015,1208,22107826.35,-6.96,0.1322,61
45385,13178,22021899.65,-9.43,0.3055,16
72141,9845,21484748.25,-44.34,0.826,96
76536,11023,21464133.04,-62.56,0.7978,95
77065,7639,21395540.62,-53.88,0.802,102
77066,6770,21038212.99,-55.24,0.8402,180
77290,2692,20843881.23,-72.71,0.833,437
22558,1070,20578455.59,-55.54,0.4378,370
99497,28362,20429507.56,-12.01,0.4074,67
95938,521,20351198.96,-82.27,0.8942,296
72131,12369,20131275.94,-49.2,0.9472,39
88374,406,19837336.43,-78.62,0.7867,178
93308,12072,19214647.48,-63.01,0.6808,13
29827,2416,19113796.1,-37.17,0.403,613
95819,1764,18873902.15,-80.91,0.8026,410
88360,5528,18727814.46,-49.48,0.8815,198
74018,21204,18714085.32,-56.18,0.9723,58
G0283,15535,18629979.46,-29.45,0.9392,49
93925,4637,18511225.8,-74.68,0.7265,151
90832,5122,18298938.33,-20.96,0.39,158
73221,6038,17486953.67,-44.76,0.726,156
22614,2241,17460604.6,-36.66,0.4778,233
99306,13143,17265653.16,-9.23,0.1284,2
70486,11658,17034472.7,-55.33,0.928,12
12032,6109,16836293.57,-18.77,0.5827,125
88377,572,16719485.48,-74.42,0.6424,182
93312,9285,16492082.91,-35.64,0.6265,3
73030,21496,16481061.29,-58.85,0.9515,31
75574,2957,16444653.5,-49.22,0.7801,250
74230,7317,16309608.57,-71.08,0.946,80
88309,3910,16121285.06,-53.06,0.844,66
22853,3736,15424168.29,-39.86,0.5962,190
17313,2217,14880777.45,-12.61,0.3677,133
99348,10463,14812829.7,-13.22,0.5498,30
36247,994,14793683.49,-37.31,0.4725,115
73562,15766,14786582.34,-63.99,0.9462,42
72158,5062,14598444.21,-50.3,0.7879,40
65778,711,14495104.48,-21.02,0.4768,192
68761,1721,14325822.53,-24.12,0.3988,101
29823,1401,14160903.94,-80.08,0.8452,354
97113,2026,13648712.07,-26.75,0.873,312
90960,5040,13633979.08,-5.15,0.0803,0
71271,7920,13609940.67,-45.14,0.818,67
95939,456,13393056.63,-69.24,0.6928,223
G6002,1842,13357237.22,-58.53,0.8804,360
37242,108,13180197.61,-22.14,0.3937,50
77338,3144,13174494.72,-29.26,0.6733,43
37227,306,13006434.72,-13.34,0.4282,142
17003,17732,12912958.05,-13.82,0.5086,8
22842,2419,12798911.08,-36.14,0.4932,236
17004,8736,12759911.56,-12.31,0.5202,12
20610,20510,12701174.26,-10.64,0.3516,17
94729,6011,12551843.81,-75.39,0.5285,0
96413,6389,12550700.1,-8.54,0.208,2
73630,18357,12534737.55,-62.73,0.96,17
52000,7613,12461936.97,-11.05,0.2403,50
99496,13235,12424792.8,-12.3,0.162,0
73700,8415,12388055.36,-47.67,0.9194,33
99231,38734,12297821.49,-8.48,0.4155,10
11603,3169,12280522.83,-47.74,0.6883,52
22551,1117,12218130.05,-37.72,0.3807,400
97150,10240,12198082.1,-24.75,0.4338,0
90791,11666,12181603.03,-18.54,0.2195,1
77334,3732,12069317.61,-29.41,0.8488,66
88173,4247,12056898.94,-38.29,0.801,93
93451,1129,11999180.92,-79.6,0.6116,141
70491,6269,11849882.44,-48.57,0.8685,68
31231,5763,11830791.01,-12.27,0.2757,38
76700,8563,11748498.68,-49.34,0.8369,31
99305,11124,11735187.16,-9.92,0.2333,5
93459,1355,11729441.78,-64.6,0.682,115
11056,7402,11626584.66,-8.98,0.4195,21
92012,12954,11590851.4,-6.02,0.1507,0
90792,9035,11573843.71,-13.23,0.2756,5
72100,16997,11456641.64,-56.57,0.9051,20
77280,2194,11420178.83,-78.7,0.7854,135
11721,10950,11195696.92,-6.58,0.41,11
92928,4761,11177540.3,-11.15,0.4438,5
73564,10868,10953249.75,-62.18,0.9269,33
12052,1675,10786352.69,-40.12,0.6382,197
92004,21616,10749194.41,-6.4,0.1463,1
77300,3763,10661592.55,-27.96,0.8534,70
17312,2188,10642159.1,-7.31,0.3381,91
36465,1029,10409583.62,-9.27,0.3651,67
78306,2181,10406819.01,-78.51,0.925,172
63650,938,10325227.75,-27.88,0.5676,181
77049,2600,10319936.64,-53.4,0.7489,81
76642,7447,10318626.99,-41.09,0.8062,9
88112,4868,10109148.5,-40.08,0.8118,32
73560,14250,9937294.76,-63.6,0.9732,22
97610,530,9878468.35,-14.16,0.098,16
43264,1397,9645476.98,-58.59,0.5293,97
27245,1913,9437453.84,-22.99,0.3075,317
99495,15033,9313787.2,-14.06,0.2158,0
29824,935,9242742.91,-70.25,0.7682,214
77001,5487,9202902.06,-74.62,0.9654,4
99442,14770,9007173.94,-13.16,0.4679,27
99454,6036,8892297.71,-9.91,0.4211,15
13152,1325,8859463.45,-46.38,0.6806,128
88304,7897,8827395.18,-60.78,0.8824,4
11043,2381,8825578.2,-12.28,0.3694,41
17262,6082,8720833.78,-18.24,0.5447,8
70544,3447,8660482.51,-61.01,0.9151,48
29828,824,8646301.94,-62.6,0.6193,136
23430,781,8533207.23,-63.57,0.6987,170
93975,2783,8493240.43,-68.33,0.7576,31
75635,2558,8407537.97,-56.62,0.7626,26
73130,14191,8328124.35,-63.96,0.9625,8
90833,6739,8289287.01,-12.88,0.3639,16
62323,5633,8160415.39,-9.8,0.1874,42
69210,12199,8047474.02,-11.95,0.4401,10
72128,6456,7977657.49,-50.52,0.9771,11
22840,1536,7779364.7,-36.92,0.5013,153
93000,57372,7713860.39,-8.51,0.1922,0
72146,5168,7705801.6,-45.9,0.8461,9
76872,3558,7659574.88,-49.93,0.605,36
