provider_state,underpaid_rows,total_estimated_recovery,avg_gap_pct,critical_or_high_count
CA,498028,1370413568.2,-22.01,18386
FL,457239,1131133034.44,-19.44,13884
NY,323395,943434301.61,-24.9,12311
IL,234918,853678319.55,-24.33,7462
TX,417418,853138031.75,-20.64,10783
NC,214614,639196535.4,-20.73,4576
PA,290443,586289361.71,-22.9,7586
OH,242428,584692895.62,-21.85,5484
MA,185599,519033469.21,-23.39,6181
VA,161784,500445939.84,-21.83,5022
NJ,200835,494950897.62,-19.08,7446
GA,159344,391114591.29,-21.33,3907
TN,146075,388858110.66,-20.79,3402
WI,115020,380481493.5,-22.14,2285
KY,79671,355658155.63,-21.16,1889
MN,124783,350213734.93,-24.77,3125
MD,127136,316999626.17,-20.22,4299
MI,181616,312393596.13,-22.51,3713
WA,120778,282476332.62,-24.83,3713
SC,110832,282125533.86,-19.63,3247
AZ,139988,270026153.0,-17.5,3404
MO,125595,257454041.03,-23.35,3577
AL,94545,254235777.86,-20.66,1884
IN,131102,228207747.73,-19.69,3120
CO,106527,210849733.95,-21.78,3107
OK,73585,162643606.41,-21.43,2417
LA,88921,158788071.67,-20.88,1908
CT,76082,147119178.38,-21.66,1780
KS,63883,136422662.16,-21.64,1875
AR,61642,130795690.58,-20.89,1717
IA,67117,122038057.56,-20.43,1479
OR,64571,118867740.87,-23.43,1533
NV,51221,116959508.21,-20.0,1477
ME,25760,111305558.15,-27.59,535
MS,56437,110928942.19,-21.0,1483
NE,48979,95309340.66,-22.1,1449
NH,38124,90450597.05,-24.2,1075
WV,32930,83242070.59,-24.31,693
UT,47415,78029741.9,-19.56,960
DE,28540,70234971.03,-19.68,1044
RI,24979,62309383.75,-22.1,652
ID,32366,59528676.72,-22.82,708
SD,23634,56354444.81,-23.53,697
MT,25506,55309520.45,-22.1,777
NM,29332,51471964.25,-20.9,645
DC,17502,45334653.08,-22.28,593
ND,20062,43920959.95,-24.47,571
HI,18787,35984040.48,-21.27,474
AK,15426,34643443.95,-20.78,359
VT,13665,27174699.58,-23.31,301
WY,11949,25158859.0,-21.17,352
PR,7231,5328507.03,-13.71,32
VI,774,824098.87,-11.64,6
